Name,Returns,UnalignedReturns,Callers,Called,Calls,ApproximateSize,Overridable,Overriden
entry_1080_000E_1080E,0,0,0,1,7,0,False,False
unknown_1000_10F4_110F4,1,0,1,1,0,56,True,False
unknown_1000_105F_1105F,1,0,1,1,0,15,True,False
interrupt_handler_0x21_F000_0020_F0020,1,0,2,4,0,3,True,False
unknown_1000_0970_10970,1,0,1,1,2,68,False,False
interrupt_handler_0x10_F000_0008_F0008,1,0,2,7,0,3,True,False
unknown_1000_09B5_109B5,1,0,1,3,0,34,True,False
unknown_1000_1019_11019,1,0,1,1,0,33,True,False
unknown_1000_0DDE_10DDE,1,0,1,1,9,103,False,False
unknown_1000_0DBC_10DBC,1,0,1,1,1,33,False,False
unknown_1000_109A_1109A,1,0,1,1,1,39,False,False
unknown_1000_0A3A_10A3A,1,0,1,1,0,22,True,False
unknown_1000_0EAD_10EAD,1,0,1,1,0,15,True,False
unknown_1000_0FA4_10FA4,1,0,1,1,2,39,False,False
unknown_1000_0FCC_10FCC,1,0,1,6,0,29,True,False
unknown_1000_0E4C_10E4C,1,0,1,1,1,5,False,False
unknown_1000_0E86_10E86,1,0,3,39,0,54,True,False
unknown_1000_0E49_10E49,1,0,1,1,2,8,False,False
unknown_1000_0E59_10E59,1,0,2,38,2,44,False,False
unknown_1000_0EBD_10EBD,1,0,1,13,1,23,False,False
unknown_1000_0EFE_10EFE,1,0,1,13,0,165,True,False
unknown_1000_0B9A_10B9A,4,0,1,13,1,349,False,False
unknown_1000_0A22_10A22,1,0,1,13,0,23,True,False
unknown_1000_0CF4_10CF4,1,0,1,1,3,45,False,False
unknown_1000_0C72_10C72,1,0,1,1,0,61,True,False
unknown_1000_0D22_10D22,1,0,2,288,2,60,False,False
unknown_1000_0D5F_10D5F,1,0,1,288,0,92,True,False
unknown_1000_09D8_109D8,1,0,1,288,0,65,True,False
unknown_1000_1085_11085,1,0,2,288,1,12,False,False
interrupt_handler_0x16_F000_0014_F0014,1,0,1,288,0,3,True,False
unknown_1000_0FEA_10FEA,1,0,1,37,2,46,False,False
unknown_1000_0E46_10E46,2,0,1,37,3,18,False,False
unknown_1000_11BD_111BD,1,0,1,2,0,10,True,False
unknown_1000_0A51_10A51,1,0,1,1,0,26,True,False
